cf81c79d54c8cbd2e8f6afb91589c3e6	gi|1276727015|gb|KY610660.1|	100.000	7.11e-91	187	Aurelia aurita	jellyfishes	6145	moon jelly
4bce24b77551d2445bc28397cf6a3c69	gi|11119792|gb|AF243985.1|	100.000	2.67e-95	195	Scomberesox saurus	bony fishes	129061	Scomberesox saurus
38ffe49c2d79fd09aa5b7be452e70458	gi|1799624491|gb|MN122853.1|	100.000	2.09e-96	197	Scomber scombrus	bony fishes	13677	Atlantic mackerel
186b6c1b92173768086a31bbd44e2eee	gi|2095140082|gb|OK135323.1|	100.000	9.56e-95	194	Tautogolabrus adspersus	bony fishes	34787	cunner
85cae80b520ca388e248f65643f456ca	gi|1798174171|gb|MN122873.1|	100.000	9.56e-95	194	Pleuronectes platessa	bony fishes	8262	European plaice
b5479cdd7cdeb8570f5a6641940d0476	gi|1642520750|ref|NC_042186.1|	100.000	3.42e-94	193	Myoxocephalus scorpius	bony fishes	8097	shorthorn sculpin
96099294873673590210fa20ec96cdb6	gi|18150498|gb|AF420459.1|	100.000	3.42e-94	193	Pholis gunnellus	bony fishes	56726	rock gunnel
656f3f26a0ee660b37763bc14102ff94	gi|1799624477|gb|MN122852.1|	100.000	3.42e-94	193	Gadus morhua	bony fishes	8049	Atlantic cod
2ef529b169d3b7744afe7d6c9f47bbf9	gi|1799624616|gb|MN122931.1|	100.000	7.48e-96	196	Clupea harengus	bony fishes	7950	Atlantic herring
77e481d5c3cdd440d1dbcc0a2012bb75	gi|1246308944|gb|MF617510.1|	91.457	1.38e-68	199	Encope emarginata	sea urchins	2039559	Encope emarginata
da5afe7fc018f64f5c99c7fce1f9eb68	gi|50812989|gb|AY539034.2|	100.000	3.42e-94	193	Hemitripterus americanus	bony fishes	8094	sea raven
449cc530ef9e02f455fb89cb95b405ad	gi|1790179336|dbj|LC493907.1|	100.000	3.42e-94	193	Triglops murrayi	bony fishes	1266884	moustache sculpin
cdf937fce1210ef6c552ee956b2d1b73	gi|1443018380|gb|MG603515.1|	100.000	1.10e-83	174	Polygordius jouinae	segmented worms	346530	Polygordius jouinae
3fd2fddfcf5b0289740b1a9388b3e8bc	gi|1790179376|dbj|LC493910.1|	100.000	9.56e-95	194	Sebastes mentella	bony fishes	394696	deepwater redfish
574e9214fe99cc29061a895b6278d637	gi|1840514286|gb|MK936042.1|	100.000	3.42e-94	193	Megalocottus platycephalus	bony fishes	476925	Megalocottus platycephalus
755c3d6026ad5846f7255fb829e11584	gi|669175077|gb|KM057864.1|	100.000	3.42e-94	193	Myoxocephalus octodecemspinosus	bony fishes	68557	longhorn sculpin
b0a158f963afb38e8a781485089efc51	gi|2580316696|gb|OR575618.1|	99.490	3.48e-94	196	Selene setapinnis	bony fishes	179369	Atlantic moonfish
cbc3bd01386280e39b7d93a2c950eb62	gi|2095140083|gb|OK135324.1|	100.000	3.42e-94	193	Microgadus tomcod	bony fishes	34823	Atlantic tomcod
3449ee7c6fb57bb3c076ad845e087b3b	gi|1790179266|dbj|LC493902.1|	100.000	3.42e-94	193	Anarhichas lupus	bony fishes	8204	Atlantic wolffish
b6cd81b51de8114332cb96eafb2aee83	gi|395616637|gb|JN852903.1|	100.000	1.58e-71	152	Lepidonotus squamatus	segmented worms	222003	Lepidonotus squamatus
b782a28a44e5e95d2d1d5627dcf75644	gi|1799624491|gb|MN122853.1|	99.492	9.74e-95	197	Scomber scombrus	bony fishes	13677	Atlantic mackerel
13128c5f4182ba51d4321fdb951517a1	gi|134261173|gb|EF458398.1|	95.876	7.50e-81	194	Liparis florae	bony fishes	320618	tidepool snailfish
